name,count,latitude,longitude
2021S051210010784,392.0,47.667841,-52.737627
2021S051210010785,1019.0,47.66057,-52.714121
2021S051210010786,550.0,47.674721,-52.746981
2021S051210010787,960.0,47.661529,-52.777858
2021S051210010788,412.0,47.704438,-52.815647
2021S051210010789,740.0,47.729982,-52.758601
2021S051210010790,1002.0,47.770413,-52.764745
2021S051210010791,321.0,47.760786,-52.765836
2021S051210010792,935.0,47.713387,-52.717663
2021S051210010793,787.0,47.705566,-52.737399
2021S051210010794,547.0,47.647051,-52.67679
2021S051210010795,523.0,47.636676,-52.68605
2021S051210010796,503.0,47.620812,-52.682368
2021S051210010797,0.0,47.5973,-52.825148
2021S051210010798,543.0,47.5917,-52.845636
2021S051210010799,555.0,47.595814,-52.873559
2021S051210010800,696.0,47.582753,-52.870895
2021S051210010801,2044.0,47.574006,-52.880966
2021S051210010802,588.0,47.57775,-52.858784
2021S051210010803,726.0,47.567304,-52.891129
2021S051210010804,1480.0,47.559654,-52.901024
2021S051210010805,895.0,47.546091,-52.88486
2021S051210010806,422.0,47.538551,-52.869108
2021S051210010807,388.0,47.634473,-52.939467
2021S051210010808,364.0,47.639765,-52.94848
2021S051210010809,346.0,47.64657,-52.933149
2021S051210010810,334.0,47.648501,-52.94769
2021S051210010811,383.0,47.639013,-52.964553
2021S051210010813,1208.0,47.570157,-52.775334
2021S051210010814,1019.0,47.595721,-52.741375
2021S051210010815,665.0,47.589188,-52.737976
2021S051210010817,1591.0,47.527044,-52.861201
2021S051210010818,815.0,47.535312,-52.859098
2021S051210010820,479.0,47.535551,-52.851994
2021S051210010821,363.0,47.526242,-52.73745
2021S051210010822,310.0,47.514023,-52.752301
2021S051210010823,370.0,47.512379,-52.757943
2021S051210010824,1383.0,47.505134,-52.766404
2021S051210010827,1929.0,47.48771,-52.813834
2021S051210010828,966.0,47.533953,-52.845188
2021S051210010830,1383.0,47.523213,-52.892977
2021S051210010832,508.0,47.537301,-52.839173
2021S051210010833,3077.0,47.542466,-52.900837
2021S051210010834,1761.0,47.551058,-52.801791
